title,donor/recipient
Cape Rodney Agricultural Development,ASDB/Papua New Guinea
Capacity Strengthening of Viet Namâ€™s Regional Cooperation Coordination and Public Investment Planning,ASDB/Viet Nam
Capacity Strengthening of the Ministry of Agriculture and Forestry,ASDB/Tonga
Capacity Strengthening of the Civil Aviation Sector,ASDB/Afghanistan
Capacity Strengthening of PRC's National Development Planning Process,ASDB/China
Capacity Strengthening of Power Planning Process,ASDB/China
Capacity Enhancement of Gujarat Industrial Investment Corporation,ASDB/India
Capacity Enhancement in the Energy Sector,ASDF/Pakistan
Capacity Development Oriented to South-South Cooperation ,Chile/Colombia
Capacity Development of Female Commune Council Networks,ASDB/Cambodia
Capacity Development in Water Resource Management,Brazil/Argentina
Capacity development in the local governments and in the polity,Hungary/Kosovo
Capacity Development in Protected Areas Management,Brazil/Argentina
Capacity development for the national administration of laboratories and health institutes (ANLIS),Brazil/Argentina
Capacity Development for the Department of Labour,ASDB/Bhutan
Capacity Development for Planning and Management in Local Government,ASDB/Tajikistan
Capacity Development for Monitoring Development Results of the National Growth and Poverty Eradication Strategy,ASDB/Laos
Capacity Development for Monitoring Development Results of the National Growth and Poverty Eradication Strategy,ASDB/Laos
Capacity Development for Irrigation and Water Resources,ASDB/Afghanistan
Capacity Development for India Infrastructure Finance Company Limited,ASDB/India
Capacity building to update the Cartographic census in Cape Verde,Brazil/Cape Verde
Capacity building to the implementation of a  cartographic map to enable the Demographic Census in Cape Verde,Brazil/Cape Verde
Capacity building to technicians for the development of  milk production of family farmers in Paraguay,Brazil/Paraguay
Capacity-building to technicians and Public managers in Public Policy Development to familiar/rural agriculture,Brazil/Paraguay
Capacity Building to Support the Outer Island Development Program,ASDB/Kiribati
Capacity Building to Support Decentralized Administrative Systems,ASDB/Indonesia
Capacity Building to Strengthen Public Sector Management and Governance Skills (Phase II),ASDB/Timor-Leste
Capacity Building to Implement Environmental Assessment Procedures,ASDB/Bhutan
Capacity Building to Develop Public Sector Management and Governance Skills,ASDB/Timor-Leste
HIGHWAYS III SUPPLEM,IDA/Madagascar
HIGHWAYS III SUPPL.,IDA/Central African Rep.
Highways Engineering Study,IDA/Cameroon
Highway Sector Project (04),IBRD/Thailand
Highway Sector Project (03),IBRD/Thailand
Highway Sector Project (02),IBRD/Kenya
Highway Sector Project (02),IBRD/Sts Ex-Yugo. Unspec.
Highway Sector Project (02),IBRD/Mexico
Highway Sector Project (01),IBRD/Kenya
Highway Sector Project,IBRD/Sts Ex-Yugo. Unspec.
Highway Sector Project,IBRD/Indonesia
Highway Sector Project,IBRD/Mexico
Highway Sector Project,IBRD/Morocco
Highway Sector Loan Project (03),IBRD/Sts Ex-Yugo. Unspec.
Highway Sector Loan Project (02),IBRD/Cote d'Ivoire
Highway Sector Loan Project (02),IBRD/Thailand
Highway Sector Loan Project (01),IBRD/Cote d'Ivoire
Highway Sector Loan Project,IBRD/Korea
Highway Sector Loan Project,IBRD/Nigeria
Highway Sector Loan Project,IBRD/Thailand
HIGHWAY SECTOR II,IBRD/Bosnia-Herzegovina
HIGHWAY SECTOR II,IBRD/Croatia
HIGHWAY SECTOR II,IBRD/Croatia
Highway Sector,ASDB/Thailand
Highway Repair and Maintenance,IADB/Peru
Highway Rehabilitation Studies,IADB/Guatemala
Highway Rehabilitation Project,IBRD/Turkey
Highway Rehabilitation Project,IBRD/Panama
Highway Rehabilitation Project,IDA/Viet Nam
Highway Rehabilitation in the State of SÃ£o Paulo,IADB/Brazil
Highway Rehabilitation I,IADB/Honduras
Highway Rehabilitation,OPEC/Honduras
Highway Rehabilitation,IADB/Honduras
Highway Rehabilitation and Traffic Safety Project,IBRD/Mexico
Highway Rehabilitation and Maintenance Program,CAF/Bolivia
Highway Rehabilitation and Local and Access Roads Construction and Improvement,OPEC/Honduras
Highway Rehabilitation and Improvement Project,IBRD/Malaysia
Highway Rehabilitation and Improvement Program - Stage 3,IADB/Peru
Highway Rehabilitation and Improvement Program,IADB/Peru
Highway Rehabilitation,IADB/Ecuador
Highway Reconstruction Project,IDA/Rwanda
Highway Reconstruction Project,IBRD/Botswana
Highway Reconstruction,EBRD/Croatia
Highway Project Feeder Roads,IDA/Senegal
Highway Project (11),IBRD/Sts Ex-Yugo. Unspec.
Highway Project (10),IBRD/Sts Ex-Yugo. Unspec.
Highway Project (09),IBRD/Sts Ex-Yugo. Unspec.
Highway Project (08),IBRD/Honduras
Highway Project (08),IBRD/Peru
Highway Project (08),IBRD/Sts Ex-Yugo. Unspec.
Highway Project (07),IBRD/Paraguay
Highway Project (07),IBRD/Mexico
Highway Project (07),IDA/Madagascar
Highway Project (07),IBRD/Honduras
Highway Project (07),IBRD/Sts Ex-Yugo. Unspec.
Highway Project (07),IDA/Ethiopia
Highway Project (06) (Supplemental),IBRD/Rwanda
Highway Project (06),IDA/Tanzania
Highway Project (06),IDA/Rwanda
Highway Project (06),IDA/Madagascar
Highway Project (06),IBRD/Thailand
Highway Project (06),IBRD/Nigeria
Highway Project (06),IBRD/Ecuador
Highway Project (06),IBRD/Honduras
Highway Project (06),IBRD/Paraguay
Highway Project (06),IDA/Ethiopia
Highway Project (06),IDA/Haiti
Highway Project (06),IBRD/Brazil
Highway Project (06),IBRD/Cameroon
Highway Project (06),IBRD/Sts Ex-Yugo. Unspec.
Highway Project (06),IBRD/Peru
Highway Project (05) - YAR,IDA/Yemen
Highway Project (05),IBRD/Paraguay
Highway Project (05),IDA/Yemen
Highway Project (05),IDA/Ethiopia
Highway Project (05),IBRD/Botswana
Highway Project (05),IDA/Madagascar
Highway Project (05),IBRD/Philippines
Highway Project (05),IBRD/Nigeria
Highway Project (05),IDA/Liberia
Highway Project (05),IBRD/Cameroon
Highway Project (05),IBRD/Indonesia
Highway Project (05),IBRD/Colombia
Highway Project (05),IBRD/Thailand
Highway Project (05),IBRD/Brazil
Highway Project (05),IBRD/Costa Rica
Highway Project (05),IBRD/Kenya
Highway Project (05),IBRD/Argentina
Highway Project (05),IBRD/Tunisia
GMS: Mekong Tourism Development â€“ Cambodia,ASDF/Cambodia
GM Properties,OPEC/Malawi
GLORIA S.A.,IFC/Peru
Globtel,EBRD/Slovakia
Globtel A.S.,EBRD/Slovakia
Globtel A.S.,EBRD/Slovakia
Globo Cabo S.A.uIFC subscribed to a rights issue for a FY96-approved project to expand the nationwide cable television network.,IFC/Brazil
Globe Trade Centre S.A. Initial Public Offering,EBRD/Poland
Global windpump evaluation program,OPEC/UNDP
Global Weather Risk Facility,IFC/Global
Global Urban Development,IADB/Ecuador
Global Trust Bank,IFC/India
Global Trust,IFC/India
Global Trade Finance (Pvt.) Limited,IFC/India
Global Trade Centre: (Regional retail centres),EBRD/Romania
Global Trade Centre (Office),EBRD/Serbia and Montenegro
Global Rural Microcredit Program,IADB/Paraguay
GlobalNet,EBRD/Croatia
Global Multisector Financing Program,IADB/Brazil
Global Multisector Credit Program,IADB/Nicaragua
Global Multisector Credit Program,IADB/El Salvador
Global Microfinance Capacity Building Facility will cofinance the creation of 11 microfinance institutions. In addition,IFC/Global
Global Microenterprise Credit Program,IADB/Peru
Global Microenterprise Credit Program,IADB/Colombia
Global Microenterprise Credit Program,IADB/Colombia
Global Microenterprise Credit Program,IADB/Ecuador
Global Microenterprise Credit (Phase II),IADB/Paraguay
Global Micro-Enterprise Credit,OPEC/Peru
Global Mechanism: Support to Resource Mobilization for and Implementation of Action Programmes and Related Initiatives,IFAD/Global
Global Mechanism of the United Nations Convention to Combat Desertification in Countries Experiencing Serious Drought and/or Desertification,IFAD/Global
Global Material Services Venezuela C.A. / ACBL Riverside Terminals C.A.,IFC/Venezuela
Global Loan for Developing the Commercial Fishing Fleet,CAF/Ecuador
Global Industrial Credit Program,IADB/Paraguay
Global Incubation Center,IFC/Global
Global Hotels Development Group will develop and operate a chain of 3-star hotels under an agreement with Holiday Inn Worldwide.,IFC/Poland
Global Fund against HIVlAtDS,Liechtenstein/Global
[Global Fund against HIVIAIDS,Liechtenstein/Global
GLOBAL FORUM ON QUALITY INLAC 2007,Colombia/Mexico
Global Environment Facility Partnership on Land Degradation in Dryland Ecosystems,ASDB/China
Global Environment Facility,EBRD/Slovenia
Global Environmental Facility,EBRD/Slovenia
Global Environmental Facility,EBRD/Slovenia
Global CyberSoft Inc.,IFC/Viet Nam
Global Cultural Forum 2006 ,Chile/Brazil
Global Credit Program for Small Business and Microenterprises,IADB/Uruguay
Global Credit Program for Small and Medium-Sized Enterprises,IADB/Brazil
Global Credit Program for Small and Medium-sized Businesses,IADB/Mexico
Global Credit Program for Municipal Development,IADB/Ecuador
Global Credit Program,IADB/Ecuador
Global Credit Peq/Gran Product/Cooper,IADB/Honduras
Global Credit for Tourism Development,IADB/Venezuela
Global credit for the exports sector,CAF/Peru
Global Credit for Small Business,IADB/Argentina
Global Credit for Microenterprises,IADB/Paraguay
Global Credit for Microenterprises,IADB/Chile
Global Credit for Microenterprise,IADB/El Salvador
Global credit for industry and tourism,CAF/Ecuador
Global Agricultural Credit Program,IADB/Costa Rica
Global Agricultural Credit,IADB/Jamaica
Gliwice environmental programme,EBRD/Poland
Gliwice environmental investment programme,EBRD/Poland
GLEN ÃŒÂ± Getting to Know One Another through Shared Social Engagement,Slovakia/Global
glass tableware,IFC/Turkey
Glass manufacturing,IFC/Turkey
Glass manufacturing,IFC/Turkey
Glass manufacturing,IFC/Brazil
Glass manufacturing,IFC/Turkey
Glass manufacturing,IFC/Turkey
glass dinnerware,IFC/Indonesia
Glass containers,IFC/Burundi
Glass containers,IFC/Jamaica
Glass containers,IFC/Cameroon
Glass containers,IFC/Egypt
Glass containers,IFC/Burundi
Glass containers,IFC/Thailand
Glass containers,IFC/Thailand
Glass containers,IFC/Cameroon
Glass Container Project,AFDB/Liberia
Glass Container Manufacturing Machinery,United States/China
Road Sector Support - Supplementary Loan,AFDF/Uganda
Road Sector Support Project II,AFDF/Uganda
Road Sector Support Project,AFDF/Uganda
Road Sector Support,OPEC/Cape Verde
Road sector restructuring and Pitesti Bypass,EBRD/Romania
Road sector restructuring,EBRD/Kazakhstan
Road Sector Rehabilitation (TAFL),AFDF/Cameroon
Road Sector Rehabilitation Project,IDA/Niger
Road Sector Project Supplement,IBRD/Chile
Road Sector Project (02),IBRD/Chile
Road Sector Project (02),IDA/Ethiopia
Road Sector Project,IBRD/Chile
Road Sector Master Plan,ASDB/Sri Lanka
Road Sector Improvement,ASDB/Timor-Leste
Road Sector Development Support Program,NDF/Ethiopia
Road Sector Development Project,EBRD/Kazakhstan
Road Sector Development Program - Sector Loans,ASDB/Pakistan
Road Sector Development Program - Program Loan,ASDB/Pakistan
Road Sector Development,NDF/Ethiopia
Road Sector Development,ASDB/Sri Lanka
Road Sector Cost Recovery Improvement,ASDB/Papua New Guinea
Roads Development Programme (Add. Loan),CDB/St. Lucia
Roads Development Programme (Additional Loan),CDB/St. Lucia
Roads Development Programme,CDB/St. Lucia
Roads Development Program,NDF/Uganda
Roads Development,ASDF/Mongolia
Roads Development,AFESD/Bahrain
Roads Betterment Project,Kuwait/Indonesia
Roads at Carriacou,OPEC/Grenada
Roads at Akar area,Saudi Arabia/Lebanon
Roads and Water Project,IDA/Botswana
Roads and Highway Safety Program in Bridgetown,IADB/Barbados
Roads and Coastal Shipping,BADEA/Mozambique
Roads and Bridges Repair Project,AFDF/Mauritius
Roads and Bridges Project,IDA/Madagascar
Roads and Bridges Management,NDF/Mozambique
Roads and Bridges Flood Reconstruction,AFESD/Yemen
Road Safety Study,ASDB/Sri Lanka
Road Safety Program and Preparation of Highway Capacity Manual,ASDB/Korea
Road Safety Improvement,ASDB/China
Road Safety and Traffic Management,ASDB/Fiji
Road Safety,ASDB/India
ROADS 1 SUPPLEMENT,IBRD/Cameroon
ROADS,IDA/Somalia
Roads,AFESD/Bahrain
ROAD REHAB MTN,IBRD/Ghana
Road Rehabilitation Studies,IADB/Costa Rica
Road Rehabilitation Studies,AFDF/Swaziland
Road Rehabilitation (Sector),ASDB/Indonesia
Road Rehabilitation (Sector),ASDB/Indonesia
Road Rehabilitation Project (RRP),IDA/Ethiopia
Road Rehabilitation Project,OPEC/Central African Rep.
Road Rehabilitation Project,EBRD/Moldova
Road Rehabilitation Project,AFDF/Cape Verde
Road Rehabilitation Project,IBRD/Panama
Road Rehabilitation Project,IBRD/Nigeria
Road Rehabilitation Project,AFDB/Morocco
Road Rehabilitation Project,OPEC/Central African Rep.
road rehabilitation project,NDF/Nicaragua
Road Rehabilitation (Phase III),OPEC/Grenada
Road Rehabilitation,OPEC/Madagascar
Road Rehabilitation and Upgrading in Karonga nd Chitipa Districts,AFDF/Malawi
Road Rehabilitation and Upgrading,IADB/Chile
Road Rehabilitation and Modernization Program,IADB/Guatemala
Road Rehabilitation and Maintenance Project (RRMP),IDA/Sierra Leone
Road Rehabilitation and Maintenance Project (05),IBRD/Dominican Republic
Road Rehabilitation and Maintenance Project,NTF/Madagascar
Road Rehabilitation and Maintenance Project,NDF/Bolivia
Road Rehabilitation and Maintenance Project,NDF/Zambia
Insurance,United States/Brazil
Insurance,United States/Rwanda
Insurance,United States/Philippines
Insurance,United States/Poland
Insurance,United States/Brazil
Insurance,United States/Poland
Insurance,United States/Uzbekistan
Insurance,United States/Turkey
Insurance,United States/Hungary
Insurance,United States/Nicaragua
Insurance,United States/Venezuela
Insurance,United States/Peru
Insurance,United States/Indonesia
Insurance,United States/Estonia
Insurance,United States/Ukraine
Insurance,United States/Hungary
Insurance,United States/Costa Rica
Insurance,United States/Estonia
Insurance,United States/Kazakhstan
Insurance,United States/Argentina
Insurance,United States/Lesotho
Insurance,United States/Jamaica
Insurance,United States/Kuwait
Insurance,United States/Israel
Insurance,United States/Chile
Insurance,United States/Colombia
Insurance,United States/Venezuela
Insurance,United States/India
Insurance,United States/Belarus
Insurance,United States/Colombia
Insurance,United States/India
Insurance,United States/Saudi Arabia
Insurance,United States/Jamaica
Insurance,United States/Thailand
Insurance,United States/Panama
Insurance,United States/Chile
Insurance,United States/Turkey
Insurance,United States/Hungary
Insurance,United States/Guatemala
Insurance,United States/Czech Republic
Insurance,United States/Costa Rica
Insurance,United States/India
Insurance,United States/India
Insurance,United States/Russia
Insurance,United States/Argentina
Insurance,United States/Kenya
Insurance,United States/Venezuela
Insurance,United States/Haiti
Insurance,United States/Thailand
Insurance,United States/Russia
Insurance,United States/Poland
Insurance,United States/Turkey
Insurance,United States/Israel
Insurance,United States/Poland
Insurance,United States/India
Insurance,United States/Honduras
Insurance,United States/Argentina
Insurance,United States/Latvia
Insurance,United States/Jamaica
Insurance,United States/Argentina
Insurance,United States/Russia
Insurance,United States/Mozambique
Insurance,United States/Ecuador
Insurance,United States/Egypt
Insurance,United States/Argentina
Insurance,United States/Argentina
Insurance,United States/Brazil
Insurance,United States/Brazil
Insurance,United States/Hungary
Insurance,United States/Papua New Guinea
Insurance,United States/Jamaica
Insurance,United States/Argentina
Insurance,United States/Jamaica
Insurance,United States/Brazil
Insurance,United States/Russia
Insurance,United States/Colombia
Insurance,United States/Poland
Insurance,United States/Russia
Insurance,United States/Russia
Insurance,United States/Russia
Insurance,United States/Malaysia
Insurance,United States/Brazil
Insurance,United States/Turkey
Insurance,United States/Indonesia
Insurance,United States/Poland
Insurance,United States/Hungary
Insurance,United States/Sri Lanka
Insurance,United States/Costa Rica
Insurance,United States/Honduras
Insurance,United States/Ecuador
Insurance,United States/Colombia
Insurance,United States/Philippines
Insurance,United States/Ukraine
Insurance,United States/Czech Republic
Insurance,United States/Poland
Insurance,United States/India
Insurance,United States/Peru
Insurance,United States/Ethiopia
Insurance,United States/Sts Ex-Yugo. Unspec.
Coca Cola SABCO (Pty) Ltd.,IFC/Global
Cobriza Mine Expansion,IADB/Peru
Coast Arid and Semi-arid Lands Development,IFAD/Kenya
Coastal Zone Management,IADB/Barbados
Coastal Villages Environmental Improvement,ASDB/Malaysia
Coastal Resources Management Project,IADB/Ecuador
Coastal Resource Management Program,IADB/Ecuador
Coastal Resource Management,ASDF/Sri Lanka
Coastal Resource Management,ASDB/Sri Lanka
Coastal Resource Conservation and Environmental Management,ASDB/China
Coastal Protection Study,AFDF/Gambia
Coastal Protection Project,AFDF/Gambia
Coastal Protection of the East Coast of Cotonou Project,Kuwait/Benin
Coastal Protection and Road Rehabilitation,OPEC/Grenada
Coastal/Midlands Agricultural Developmen,IFAD/Syria
Coastal Management Program,IADB/Guyana
Coastal Lands Development Project,IDA/China
Coastal Infrastructure Program,IADB/Barbados
Coastal Highway Project,IBRD/El Salvador
Coastal Greenbelt,ASDF/Bangladesh
Coastal Fisheries Management and Development,ASDF/Papua New Guinea
Coastal Fisheries Management and Development,ASDB/Papua New Guinea
Coastal Family Health Center,Qatar/United States
Coastal Erosion And Road Rehabilitation Project,Kuwait/Grenada
Coastal Environment Management Planning,ASDB/Indonesia
Coastal Environmental Protection and Institutional Assessment,ASDB/China
Coastal Defenses and Road Rehabilitation Project,Kuwait/Grenada
Coastal Conservation Program,IADB/Barbados
Coastal Conservation,IADB/Barbados
Coastal Community Development and Fisheries Resources Conservation,ASDB/Indonesia
Coastal Community Development and Fisheries Resource Management,ASDB/Indonesia
Coastal Bosder Administration Trinidad and Tobago,Chile/Trinidad & Tobago
Coastal Aquaculture Development Study,ASDB/Viet Nam
Coal Sector Policy Study,ASDB/Indonesia
Coal Project - Lota Schwager,IBRD/Chile
Coal Project - Lota Schwager,IBRD/Chile
Coal Project,IBRD/India
COAL-POWERED THERMAL STATlON,BADEA/Niger
Coal Ports,ASDB/India
Coal Mining Project,IADB/Mexico
Coal Mining Equipment,United States/China
Coal Mining Equipment,United States/Zimbabwe
Coal Mining and Quality Improvement Project,IBRD/India
Coal mining,IFC/Colombia
Coal Mine Safety Study,ASDB/China
Coal Mine Project,United States/Colombia
Coal Mine Methane Development,ASDB/China
Coal Mine Expansion,IADB/Brazil
Coal Mine and Transport System,United States/Colombia
Coal - Jharia Block Project (02),IBRD/India
Coal Handling Port Project,IBRD/Portugal
Coal fired thermal power plant,United States/Venezuela
Coal fired power station,United States/China
Coal Fired Power Plant,United States/Indonesia
Coal-fired power plant,United States/Spain
Coal-fired power plant,United States/Spain
Coal-fired power plant,United States/Spain
Coal fired boiler,United States/Spain
Coal Exploration Project,IBRD/Colombia
Coal Exploration Project,IBRD/Indonesia
Coal Exploration Project,IBRD/Argentina
Coal Exploration Project,IBRD/Philippines
Coal Engineering Project,IDA/Tanzania
Coal Engineering Project,IDA/Pakistan
Coal Development Project,ASDB/Korea
Coal - Cement Distribution Project,IBRD/Korea
coal boiler equipment,United States/Indonesia
,United Arab Emirates/Congo
,United Arab Emirates/Morocco
,United Arab Emirates/Congo
[ZusÃ_tzliche Mittel aus dem ErlÃ¶s der JubilÃ_umsmÃ_nzen fÃ_r das Schut projekt der Stiftung  Â«Menschen fÃ_r MenschenÂ» in Ã„thiopien. Zu den gesamten Projektkosten siehe Berichterstattung des LED ],Liechtenstein/Ethiopia
ZTP Belgrade Reconstruction Project,EBRD/Sts Ex-Yugo. Unspec.
ZSNP,EBRD/Slovakia
ZSE Electricity Distribution privatisation,EBRD/Slovakia
Zouxian Thermal Power Project,IBRD/China
Zou Province Rural Development Project,IDA/Benin
ZOPP Applications for Strengthening Community and Local Government Participation,ASDB/Philippines
Zone Lacustre Development Project - Phase II,IFAD/Mali
Zomba Rural Development,AFDF/Malawi
Zomba - Jali - Phalombe - Chitakale Road Project,Kuwait/Malawi
â€œZombaâ€ù â€“ â€œJaliâ€ù- â€œChitakali Roadâ€ù,BADEA/Malawi
Zombaâ€“Jaliâ€“Chitakale Road,OPEC/Malawi
ZN Mexico Capital Growth Fund Ltd. and ZN Capital Management Ltd.,IFC/Mexico
Ziwa-Kitale Road Development,AFDF/Kenya
Zitomir,EBRD/Ukraine
Zinder-Nigeria Border Road,AFDF/Niger
Zinder-Agadez Road Project,OPEC/Niger
Zinder-Agadez Road Project,OPEC/Niger
Zinder-Agadez Road,AFDF/Niger
Zinder-Agades Road,BADEA/Niger
Zindar-Agadez Road,Saudi Arabia/Niger
Zinc/lead,IFC/Korea
Zihuatanejo Tourism Project,IBRD/Mexico
Ziguinchor-Cap Skirring Road,AFDB/Senegal
[Ziemos Youth School],Lithuania/Russia
Zhovhe Small-Scalle Irrigation Project,AFDB/Zimbabwe
Zhovhe Small-Scale Irrigation Project,AFDF/Zimbabwe
Zhong Chen Energy Storage Company Ltd.,IFC/China
Zhen Jing Leather Products Company,IFC/China
Zhengzhou - Xuedian Airport,Kuwait/China
Zhengzhou-Xiâ€™an Railway,ASDB/China
Zhejiang-Shanxi Water Supply (Phase II),ASDB/China
Zhejiang-Shanxi Water Supply (Phase I),ASDB/China
Zhejiang-Shanxi Water Conservancy,ASDB/China
Zhejiang Provincial Highway Project,IBRD/China
ZHEJIANG MULTICITIES DEVELOPMENT PROJECT,IDA/China
Zhejiang Coline Chocolate Products Co. Ltd.,IFC/China
ZGOS Zagreb solid waste programme,EBRD/Croatia
Zeravshan Gold Company and Nelson Gold Corporation Limited will increase production from their Jilau open pit mine to produce about 100,IFC/Tajikistan
Zeizoun Power Station Project,AFESD/Syria
Zarqa River Irrigation Project,Kuwait/Jordan
Zarqa Dam and Irrigation of Tbarqa and Mekna Plains,AFESD/Tunisia
Zarqa and Ruseifa Water Supply and Sewerage Project,IBRD/Jordan
Zarqa-Al Mafraq-Syrian Border Road,AFESD/Jordan
Zara-Ghor Haditha Road,AFESD/Jordan
Zara-Ghor Haditha Road,Saudi Arabia/Jordan
Zarafshan-Newmont Third Facility,EBRD/Uzbekistan
Zarafshan-Newmont Joint Venture,EBRD/Uzbekistan
Zarafshan-Newmont Cost Overrun,EBRD/Uzbekistan
Zaporizhzhia Water Utility Development and Investment Program,EBRD/Ukraine
Zapi East Integrated Rural Development Project,IDA/Cameroon
ZAO Welor,IFC/Russia
ZAO Stora Enso Packaging,IFC/Russia
ZAO Stora Enso Packaging,IFC/Russia
ZAO Sonic Duo,IFC/Russia
ZAO Serebro Dukat and Pan American Silver Corporation will develop the Dukat Silver Mine in far eastern Russia to produce silver concentrate for export.,IFC/Russia
ZAO Rautaruukki Belcolor will build and operate a coated steel production plant with design capacity of 80,IFC/Belarus
ZAO Pakenso will build and operate a corrugated box production facility in Balabanovo to produce 90 million sq.m. of corrugated board per year for conversion into customized boxes for the domestic market.,IFC/Russia
ZAO DIROL,EBRD/Russia
Industry and Tourism Credit Program,IADB/Costa Rica
Industry and Tourism,IADB/Jamaica
Industry and Tourism,IADB/Jamaica
Industry and Information Technology Park Development Co.,IFC/Jordan
Industry and Enterprise Sector Reform,ASDB/Kazakhstan
Industry and Construction Bank Credit Line,EBRD/Russia
Industry,ASDB/Solomon Islands
Industrie et nTgoce Ouest Africain will build a cocoa conditioning plantto prepare raw beans for export quality standards (AEF).,IFC/Cote d'Ivoire
Industrias Innopack S.A. de C.V.,IFC/Mexico
Industrias Arteb S.A.,IFC/Brazil
Industrial Vocational Training Centres,AFDF/Egypt
Industrial Tree Plantation,ASDB/Philippines
Industrial Tree Plantation,ASDF/Laos
Industrial Training Project (02),IBRD/Malaysia
Industrial Training Project (02),IBRD/Turkey
Industrial Training Project (01),IBRD/Malaysia
Industrial Training Project,IBRD/Turkey
Industrial Training Centre Project,BADEA/Seychelles
Industrial & Trade Adjustment Credit Project,IDA/Tanzania
Industrial & Tourism Development III,IADB/Barbados
Industrial Technology Finance,ASDB/China
Industrial Technology Development Project,IBRD/India
Industrial Technology Development Project,IBRD/Mexico
Industrial Technology Development and Management,ASDB/Malaysia
Industrial Technology and Human Resources Development,ASDB/Indonesia
Industrial Technology and Human Resource Development,ASDB/Indonesia
Industrial Technical Assistance Project (Supplemental),IBRD/Madagascar
Industrial Survey,IADB/Paraguay
Industrial Strengthening for National Development Corporation,CDB/Dominica
Industrial Sites Development Study,ASDB/Solomon Islands
Industrial services,IFC/Dominican Republic
Industrial Sector Study and Strengthening of the Ministry of Industry and Handicrafts,ASDB/Laos
Industrial Sector Study and a Feasibility Study for the Establishment of a Development Financing Mechanism,ASDB/Bhutan
Industrial Sector Study,ASDB/Nepal
Industrial Sector Review and Strategy,ASDB/Kazakhstan
Industrial Sector Requirements,AFDB/Mauritius
Industrial Sector Rehabilitation Study,AFDF/Sudan
Industrial Sector Project,ASDF/Mongolia
Industrial Sector Programme,AFDB/Ghana
Industrial Sector Program,ASDB/Nepal
Industrial Sector Program,ASDB/Pakistan
Industrial Sector Program,ASDF/Nepal
Industrial Sector Policy Review,ASDB/Sri Lanka
Industrial Sector Policy Loan (ISPL) Project,IBRD/Mexico
Industrial Sector Opportunities Study (Grant),AFDF/Malawi
Industrial Sector Credit Project,IDA/Bangladesh
Industrial Sector Adjustment Project,IDA/Kenya
Industrial Sector Adjustment Programme,AFDF/Tanzania
Industrial Sector Adjustment Programme,AFDB/Tunisia
Industrial Sector Adjustment Programme,AFDB/Kenya
Industrial Sector Adjustment Loan Project,IBRD/Mauritius
Industrial Sector Adjustment Loan Project,IBRD/Hungary
Industrial Sector Adjustment Loan,AFDF/Kenya
Industrial Sector Adjustment Credit Project (02),IDA/Bangladesh
Industrial Sector Adjustment Credit (ISAC) Project,IDA/Ghana
Industrial Secondary Schools,OPEC/Egypt
Industrial Schools Project,IBRD/Turkey
Industrial Restructuring Project (03),IBRD/Hungary
Industrial Restructuring Project (02),IBRD/Hungary
Industrial Restructuring Project,IBRD/Cyprus
Industrial Restructuring Project,IBRD/Philippines
Industrial Restructuring Project,IDA/Senegal
Industrial Restructuring Project,IBRD/Indonesia
Industrial Restructuring Project,IBRD/Mexico
INDUSTRIAL RESTRUCTURING & DEVELOPMENT,IDA/Haiti
Industrial Restructuring Demonstration,IBRD/Algeria
Industrial Restructuring and Development Project,IBRD/Colombia
Industrial Research Development and Engineering Project,IBRD/Spain
Industrial Reorientation Project,IDA/Zambia
Industrial Reorientation Programme,AFDF/Zambia
Industrial Reorientation Programme,AFDB/Zambia
Industrial Rehabilitation Project,IDA/Uganda
Industrial Rehabilitation Project,AFDB/Zimbabwe
industrial rehabilitation project,NDF/Philippines
Industrial Rehabilitation Credit Project,IBRD/Nicaragua
Industrial Rehabilitation and Promotion Project,IDA/Guinea
Industrial Rehabilitation and Promotion Project,OPEC/Guinea
Industrial Rehabilitation,IADB/Jamaica
Industrial Recovery Project,IBRD/Mexico
Industrial Recovery Program,IADB/Costa Rica
Industrial Recovery Program,IADB/Guatemala
Industrial Recovery Program,IADB/Honduras
Industrial Recovery Program,IADB/Colombia
Industrial Recovery,IADB/Dominican Republic
Industrial Recovery,IADB/Peru
Industrial Recovery,IADB/Guyana
Industrial Recovery,IADB/Argentina
Industrial Recovery,IADB/Dominican Republic
Industrial Recovery,IADB/Ecuador
Industrial Recovery,IADB/Chile
Liberia ,Liechtenstein/Liberia
Liberia ,Liechtenstein/Liberia
Liaoning Urban Infrastructure Project,IDA/China
Liaoning Expressway,ASDB/China
Liaoning Environmental Improvement,ASDB/China
Liaoning and Jilin Expressways,ASDB/China
Liaodong Bay Technical Assistance Project,IBRD/China
LHV Asset Management,EBRD/Estonia
LHV asset management,EBRD/Estonia
l hisd Rural Infrastructure Development,ASDB/Bangladesh
LG Russia,EBRD/Russia
LG Petro Bank S.A.,EBRD/Poland
L&G ESCO Poland,EBRD/Poland
Leyte-Mindanao Interconnection Engineering ,ASDB/Philippines
Leyte-Mindanao Interconnection Engineering,ASDB/Philippines
Leyte - Cebu Geothermal Project,NDF/Philippines
Leveraging the Capital Markets to Increase Financing for Small Enterprises through Factoring,IADB/Peru
Leventis Timisoara Bottling Plant,EBRD/Romania
Leventis Romanian Bottlers,EBRD/Romania
Levan-Vlore road,EBRD/Albania
Letters of credit,CAF/Colombia
Let's tidy up Georgia - environment protection in a city,Poland/Georgia
